,Time,InputLaser,AbsoluteAbsorption,AbsAbsorptionUncertainty,RelativeAbsorption,CameraTrigger,FrameTrigger,FrameNumber
194,-0.0016418,0,-0.81745,--,-0.79974,1,0,0
195,-0.00164176,0,0.05774,--,0.05649,1,0,0
196,-0.00164172,0,0.18753,--,0.18346,1,0,0
197,-0.00164168,0,-1.19073,--,-1.16493,1,0,0
198,-0.00164164,0,0.01525,--,0.01492,1,0,0
199,-0.0016416,0,-0.1421,--,-0.13903,1,0,0
200,-0.00164156,0,0.07267,--,0.0711,1,0,0
201,-0.00164152,0,-0.20068,--,-0.19633,1,0,0
202,-0.00164148,0,-0.55903,--,-0.54691,1,0,0
203,-0.00164144,0,0.57459,--,0.56214,1,0,0
204,-0.0016414,0,-0.45796,--,-0.44803,1,0,0
205,-0.00164136,0,-1.19073,--,-1.16493,1,0,0
206,-0.00164132,0,-0.41546,--,-0.40646,1,0,0
207,-0.00164128,0,0.04396,--,0.04301,1,0,0
208,-0.00164124,0,-1.34923,--,-1.31999,1,0,0
209,-0.0016412,0,-0.6601,--,-0.6458,1,0,0
210,-0.00164116,0,1.06387,--,1.04082,1,0,0
211,-0.00164112,0,0.71816,--,0.7026,1,0,0
212,-0.00164108,0,0.4896,--,0.47899,1,0,0
213,-0.00164104,0,-0.68881,--,-0.67389,1,0,0
214,-0.001641,0,-0.12832,--,-0.12554,1,0,0
215,-0.00164096,0,0.23003,--,0.22504,1,0,0
216,-0.00164092,0,0.79052,--,0.77339,1,0,0
217,-0.00164088,0,-0.44417,--,-0.43455,1,0,0
218,-0.00164084,0,0.4896,--,0.47899,1,0,0
219,-0.0016408,0,0.07267,--,0.0711,1,0,0
220,-0.00164076,0,1.04894,--,1.02621,1,0,0
221,-0.00164072,0,1.50836,--,1.47567,1,0,0
222,-0.00164068,0,0.44595,--,0.43629,1,0,0
223,-0.00164064,0,1.13508,--,1.11048,1,0,0
224,-0.0016406,0,1.49343,--,1.46107,1,0,0
225,-0.00164056,0,1.98156,--,1.93862,1,0,0
226,-0.00164052,0,-0.38675,--,-0.37836,1,0,0
227,-0.00164048,0,-0.93231,--,-0.9121,1,0,0
228,-0.00164044,0,0.14503,--,0.14189,1,0,0
229,-0.0016404,0,-0.41546,--,-0.40646,1,0,0
230,-0.00164036,0,0.45974,--,0.44977,1,0,0
231,-0.00164032,0,0.64695,--,0.63293,1,0,0
232,-0.00164028,0,-0.15704,--,-0.15363,1,0,0
233,-0.00164024,0,-1.37794,--,-1.34808,1,0,0
234,-0.0016402,0,-0.38675,--,-0.37836,1,0,0
235,-0.00164016,0,0.30238,--,0.29583,1,0,0
236,-0.00164012,0,-0.41546,--,-0.40646,1,0,0
237,-0.00164008,0,-0.38675,--,-0.37836,1,0,0
238,-0.00164004,0,-1.19073,--,-1.16493,1,0,0
239,-0.00164,0,0.14503,--,0.14189,1,0,0
240,-0.00163996,0,0.1726,--,0.16886,1,0,0
241,-0.00163992,0,-0.73131,--,-0.71546,1,0,0
242,-0.00163988,0,-2.45413,--,-2.40095,1,0,0
243,-0.00163984,0,-0.05711,--,-0.05587,1,0,0
244,-0.0016398,0,-0.61645,--,-0.6031,1,0,0
245,-0.00163976,0,-0.15704,--,-0.15363,1,0,0
246,-0.00163972,0,-1.3343,--,-1.30538,1,0,0
247,-0.00163968,0,-1.30558,--,-1.27729,1,0,0
248,-0.00163964,0,0.81923,--,0.80148,1,0,0
249,-0.0016396,0,-0.6601,--,-0.6458,1,0,0
250,-0.00163956,0,-1.37794,--,-1.34808,1,0,0
251,-0.00163952,0,-1.39173,--,-1.36157,1,0,0
252,-0.00163948,0,-0.88866,--,-0.8694,1,0,0
253,-0.00163944,0,-0.01347,--,-0.01317,1,0,0
254,-0.0016394,0,1.37857,--,1.3487,1,0,0
255,-0.00163936,0,1.49343,--,1.46107,1,0,0
256,-0.00163932,0,0.04396,--,0.04301,1,0,0
257,-0.00163928,0,0.97773,--,0.95654,1,0,0
258,-0.00163924,0,0.74687,--,0.73069,1,0,0
259,-0.0016392,0,1.20744,--,1.18128,1,0,0
260,-0.00163916,0,0.50338,--,0.49247,1,0,0
261,-0.00163912,0,1.15001,--,1.12509,1,0,0
262,-0.00163908,0,0.07267,--,0.0711,1,0,0
263,-0.00163904,0,-0.04218,--,-0.04127,1,0,0
264,-0.001639,0,0.71816,--,0.7026,1,0,0
265,-0.00163896,0,0.86288,--,0.84418,1,0,0
266,-0.00163892,0,0.91916,--,0.89924,1,0,0
267,-0.00163888,0,-0.61645,--,-0.6031,1,0,0
268,-0.00163884,0,-1.42044,--,-1.38966,1,0,0
269,-0.0016388,0,-1.26309,--,-1.23572,1,0,0
270,-0.00163876,0,0.23003,--,0.22504,1,0,0
271,-0.00163872,0,-0.93231,--,-0.9121,1,0,0
272,-0.00163868,0,-0.08582,--,-0.08396,1,0,0
273,-0.00163864,0,-0.41546,--,-0.40646,1,0,0
274,-0.0016386,0,-0.58774,--,-0.575,1,0,0
275,-0.00163856,0,0.20246,--,0.19807,1,0,0
276,-0.00163852,0,-0.68881,--,-0.67389,1,0,0
277,-0.00163848,0,0.21624,--,0.21156,1,0,0
278,-0.00163844,0,0.15882,--,0.15537,1,0,0
279,-0.0016384,0,-0.91737,--,-0.8975,1,0,0
280,-0.00163836,0,-0.31554,--,-0.3087,1,0,0
281,-0.00163832,0,0.86288,--,0.84418,1,0,0
282,-0.00163828,0,0.30238,--,0.29583,1,0,0
283,-0.00163824,0,0.25874,--,0.25313,1,0,0
284,-0.0016382,0,-0.45796,--,-0.44803,1,0,0
285,-0.00163816,0,0.8043,--,0.78687,1,0,0
286,-0.00163812,0,0.50338,--,0.49247,1,0,0
287,-0.00163808,0,0.86288,--,0.84418,1,0,0
288,-0.00163804,0,-0.76002,--,-0.74355,1,0,0
289,-0.001638,0,-0.09961,--,-0.09745,1,0,0
290,-0.00163796,0,0.91916,--,0.89924,1,0,0
291,-0.00163792,0,0.54702,--,0.53517,1,0,0
292,-0.00163788,0,0.57459,--,0.56214,1,0,0
293,-0.00163784,0,0.93409,--,0.91384,1,0,0
294,-0.0016378,0,0.4896,--,0.47899,1,0,0
295,-0.00163776,0,0.58952,--,0.57675,1,0,0
296,-0.00163772,0,0.91916,--,0.89924,1,0,0
297,-0.00163768,0,1.88164,--,1.84086,1,0,0
298,-0.00163764,0,1.76678,--,1.7285,1,0,0
299,-0.0016376,0,0.41724,--,0.4082,1,0,0
300,-0.00163756,0,-0.6601,--,-0.6458,1,0,0
301,-0.00163752,0,-0.68881,--,-0.67389,1,0,0
302,-0.00163748,0,0.89044,--,0.87114,1,0,0
303,-0.00163744,0,1.30736,--,1.27903,1,0,0
304,-0.0016374,0,0.86288,--,0.84418,1,0,0
305,-0.00163736,0,-0.1421,--,-0.13903,1,0,0
306,-0.00163732,0,0.61823,--,0.60484,1,0,0
307,-0.00163728,0,-0.1421,--,-0.13903,1,0,0
308,-0.00163724,0,-0.27189,--,-0.266,1,0,0
309,-0.0016372,0,-0.76002,--,-0.74355,1,0,0
310,-0.00163716,0,0.23003,--,0.22504,1,0,0
311,-0.00163712,0,1.13508,--,1.11048,1,0,0
312,-0.00163708,0,-0.3431,--,-0.33566,1,0,0
313,-0.00163704,0,-0.45796,--,-0.44803,1,0,0
314,-0.001637,0,3.16E-04,--,3.09E-04,1,0,0
315,-0.00163696,0,-0.47289,--,-0.46264,1,0,0
316,-0.00163692,0,-1.34923,--,-1.31999,1,0,0
317,-0.00163688,0,-1.47787,--,-1.44584,1,0,0
318,-0.00163684,0,-0.94609,--,-0.92559,1,0,0
319,-0.0016368,0,-0.41546,--,-0.40646,1,0,0
320,-0.00163676,0,3.16E-04,--,3.09E-04,1,0,0
321,-0.00163672,0,-0.87488,--,-0.85592,1,0,0
322,-0.00163668,0,-0.07089,--,-0.06936,1,0,0
323,-0.00163664,0,-0.5016,--,-0.49073,1,0,0
324,-0.0016366,0,1.13508,--,1.11048,1,0,0
325,-0.00163656,0,-1.26309,--,-1.23572,1,0,0
326,-0.00163652,0,-0.6601,--,-0.6458,1,0,0
327,-0.00163648,0,-2.52649,--,-2.47174,1,0,0
328,-0.00163644,0,-0.68881,--,-0.67389,1,0,0
329,-0.0016364,0,0.35981,--,0.35201,1,0,0
330,-0.00163636,0,1.40729,--,1.37679,1,0,0
331,-0.00163632,0,0.99151,--,0.97003,1,0,0
332,-0.00163628,0,-0.3431,--,-0.33566,1,0,0
333,-0.00163624,0,-0.6601,--,-0.6458,1,0,0
334,-0.0016362,0,-0.61645,--,-0.6031,1,0,0
335,-0.00163616,0,0.28745,--,0.28122,1,0,0
336,-0.00163612,0,-0.45796,--,-0.44803,1,0,0
337,-0.00163608,0,0.57459,--,0.56214,1,0,0
338,-0.00163604,0,-0.68881,--,-0.67389,1,0,0
339,-0.001636,0,0.56081,--,0.54866,1,0,0
340,-0.00163596,0,0.93409,--,0.91384,1,0,0
