time_s,laser,input_power_W,deposited_power_W,absorptivity
4.269404762e-05,laser0,156,56.99759859,0.3653692217
4.312380952e-05,laser0,156,56.99772365,0.3653700234
4.355357143e-05,laser0,156,56.99786379,0.3653709217
4.398333333e-05,laser0,156,56.99796732,0.3653715854
4.441309524e-05,laser0,156,56.99814572,0.365372729
4.484285714e-05,laser0,156,56.99841306,0.3653744427
4.523956044e-05,laser0,156,56.99902673,0.3653783765
4.563626374e-05,laser0,156,56.9999237,0.3653841263
4.599990842e-05,laser0,156,57.00098514,0.3653909304
4.636355311e-05,laser0,156,57.00182238,0.3653962973
4.669413919e-05,laser0,156,57.00238641,0.3653999129
4.702472527e-05,laser0,156,57.00260279,0.3654012999
4.732225275e-05,laser0,156,57.00250647,0.3654006825
4.761978022e-05,laser0,156,57.00217182,0.3653985373
4.791730769e-05,laser0,156,57.00174594,0.3653958073
4.821483516e-05,laser0,156,57.00143012,0.3653937828
4.851236264e-05,laser0,156,57.0012053,0.3653923417
4.880989011e-05,laser0,156,57.00102394,0.3653911791
4.910741758e-05,laser0,156,57.00089374,0.3653903445
4.940494505e-05,laser0,156,57.00083498,0.3653899678
4.970247253e-05,laser0,156,57.00095011,0.3653907059
5e-05,laser0,156,57.000996,0.365391
5.024390244e-05,laser0,156,57.09405327,0.365987521
5.049405879e-05,laser0,156,57.08815318,0.3659496999
5.075811271e-05,laser0,156,57.02555356,0.3655484202
5.10148318e-05,laser0,156,57.03080096,0.3655820574
5.12512836e-05,laser0,156,57.07206962,0.3658466001
5.147560966e-05,laser0,156,57.08748138,0.3659453935
5.169418377e-05,laser0,156,57.05227844,0.3657197336
5.190715342e-05,laser0,156,57.03657249,0.3656190544
5.2125879e-05,laser0,156,57.02072873,0.3655174919
5.235085388e-05,laser0,156,57.02061315,0.365516751
5.258264619e-05,laser0,156,57.034738,0.3656072949
5.282191567e-05,laser0,156,57.02559703,0.3655486989
5.306943582e-05,laser0,156,57.04305027,0.3656605787
5.331695597e-05,laser0,156,57.04563966,0.3656771773
5.355563611e-05,laser0,156,57.05712796,0.3657508202
5.379431626e-05,laser0,156,57.03224198,0.3655912947
5.40329964e-05,laser0,156,57.03186877,0.3655889023
5.427167654e-05,laser0,156,57.04636681,0.3656818385
