",""P_laser [W]"",""v_scan [mm/s]"",""d_laser [mm]"",""t_powder [um]"",""Weldwidth w_w [um]"",""Penetrationdepth d_w [um]"",""Moltencross-sectionalarea A_m [um]"",""Balling"""
368,475,675,0.14,30,232.7,167.1,29806.2,1
369,300,450,0.05,60,143.5,403.4,36068.1,1
370,400,450,0.14,60,234.9,125.9,33298.2,0
371,350,750,0.08,60,177.5,145.1,20591.8,0
372,450,900,0.11,30,246.841,40.386,22172.398,1
373,225,750,0.14,30,165.9,37.7,8581.3,0
374,450,1500,0.08,60,138.04,77.213,8609.796,1
375,225,1050,0.08,30,110.5,73.7,6218.6,1
376,225,375,0.11,60,200.6,142.1,29783.7,0
377,225,1350,0.08,0,118.2,47.8,4412.4,0
378,150,900,0.05,60,104.7,77.1,8784,1
379,400,1200,0.11,30,147.056,60.326,14275.242,1
380,300,300,0.11,0,233.9,100.4,19091.6,0
381,150,900,0.05,0,99.45,61.5,4970.503,0
382,250,600,0.14,0,225.59,25.428,2760.066,0
383,200,600,0.11,0,151.301,58.338,6381.258,0
384,325,225,0.14,60,283.2,281.9,61695.5,0
385,350,600,0.08,30,178.7,208.2,31975.1,0
386,225,450,0.14,30,207.7,52.6,12493.7,0
387,350,900,0.11,0,207.742,57.045,7766.875,0
388,500,450,0.14,60,264.2,255.5,60204.2,0
389,325,450,0.08,30,193.1,239.4,42746.5,0
390,325,450,0.14,30,223.4,85.2,20229.2,0
391,150,900,0.05,30,106.761,47.517,6323.031,0
392,375,850,0.08,60,162.2,165.1,23986.9,0
393,225,525,0.11,60,169.1,69.4,11935.8,0
394,100,825,0.05,60,93,55.1,4624,0
395,200,1050,0.08,60,128.9,40.8,8721.1,1
396,125,750,0.11,0,147.2,33.2,3040,0
397,400,300,0.11,30,256,452.4,71979.2,0
398,350,600,0.11,0,196.525,102.88,15803.922,0
399,475,750,0.14,30,239.2,105.8,36450,1
400,275,1350,0.08,0,120,61,5770,1
401,250,600,0.14,30,185,51.3,11242.2,0
402,250,525,0.14,60,189.7,68.9,19066.5,0
403,325,735,0.14,60,176.8,68.5,7548.6,1
404,225,675,0.05,60,126.8,198,24946.1,1
405,350,1200,0.05,60,170.851,48.896,11402.04,1
406,350,900,0.11,30,153.512,56.79,17737.086,1
407,150,300,0.08,60,173.8,138.8,21059.5,0
408,350,300,0.14,30,271,291.7,57952.9,0
409,100,900,0.08,0,87.551,30.303,1684.328,0
410,450,900,0.08,60,188.192,83.29,13388.653,1
411,475,375,0.14,60,280.5,249.2,62872.9,0
412,50,300,0.14,0,112.881,14.924,1211.893,0
413,350,1200,0.08,60,155.38,39.868,10584.085,1
414,200,900,0.05,30,126.65,102.005,12476.665,0
415,350,600,0.14,0,200.77,87.759,13502.658,0
416,450,525,0.14,30,240,176,33906.5,0
417,150,300,0.14,60,157.932,37.919,16156.794,1
418,500,600,0.14,0,282.883,85.758,18626.787,0
419,250,600,0.08,60,177.484,36.981,10547.774,0
420,225,750,0.05,30,108.5,190.3,20658.6,1
421,300,600,0.05,30,130.2,346.8,40917.8,1
422,75,900,0.05,30,73.6,25.7,2283.9,0
423,175,750,0.14,30,160.7,31,6591.3,0
424,275,750,0.11,30,158.8,82,10229.3,0
425,450,1500,0.05,60,127.16,102.142,10787.044,1
426,200,450,0.05,0,149.3,235.6,21299,0
427,175,525,0.05,60,117.5,210.1,17573.6,0
428,100,300,0.08,60,117.6,35.8,7687.7,0
429,150,300,0.08,60,158.271,75.478,14563.832,0
430,200,1500,0.08,0,116.456,30.076,1399.194,0
431,425,450,0.14,30,254.3,168.2,33895.1,0
432,100,900,0.11,0,107.1,24.062,1766.631,0
433,350,1200,0.14,30,176.291,42.382,9806.796,1
434,400,600,0.11,60,206.721,74.682,39845.303,1
435,175,1050,0.08,30,114.8,49.9,6351.6,1
436,150,900,0.08,0,111.18,39.516,3065.453,0
437,100,600,0.05,60,93.67,37.012,5459.724,0
438,175,975,0.05,60,106.6,99.4,10999.4,1
439,400,600,0.14,30,215.901,68.362,18786.387,0
440,400,900,0.08,60,142.636,100.989,11495.26,1
441,500,1200,0.14,0,224.402,56.195,8013.84,1
442,400,1200,0.05,60,156.4,114.967,26167.768,1
443,200,300,0.14,30,217.3,60.3,17994.4,0
